Link,Title,Location,Salary,Summary
https://kr.indeed.com//company/%EB%A9%94%EC%9D%B4%EC%A0%80-%EB%8C%80%EA%B8%B0%EC%97%85-%EC%9D%8C%EC%95%85%EC%BD%98%ED%85%90%EC%B8%A0-%EA%B3%84%EC%97%B4%EC%82%AC-Data-Engineer%ED%8F%AC%EC%A7%80%EC%85%98asap/jobs/-51fb0c85afdfeb70?fccid=3cfe13845f73c09f&vjs=3,메이저 대기업 계열사 Data Engineer포지션,서울 방배동,"연봉 60,000,000원 - 100,000,000원","이터 엔지니어링에 대한 이해가 있는 분 • AWS 환경에서 데이터 플랫폼 개발 경험이 있는 분 • SQL, 
Python 개발 가능하신 분 • 원활한 커뮤니케이션 능력을 보유하신 분 우대사항 • GCP 환경에서 데이터 플랫폼..."
https://kr.indeed.com//rc/clk?jk=e0e37aaebc73dde3&fccid=bc48816053af06b3&vjs=3,지표구축,경기도 성남,,"대시보드 플랫폼의 활용이 가능하신분 - 새로운 서비스 출시후 모니터링이나 트랜드 확인이 가능하도록 설계나 지원이 가능하신분 - SQL,Excel,R,
Python 등을 이용하여 데이터 추출 또는 분석이 가능하신 분"
https://kr.indeed.com//rc/clk?jk=e0f58354b166f668&fccid=e90e80bc9ed9a53f&vjs=3,Database Engineer (DBA) (RDBMS / NOSQL),대한민국,,"능하신 분 데이터 모델링에 대한 이해도가 높고 DB기초지식이 견고하신 분 운영도구등의 개발이 가능하신 분 ( 
Python, Golang, Perl, Java 등) 현실에 안주하지 않고 자기개발에 대한 열정이 넘치시는 분 해외..."
https://kr.indeed.com//rc/clk?jk=466547f7a5577282&fccid=81880cb2b512246a&vjs=3,자유롭게 소통하며 함께 일할 IT/SW 개발팀 정규직,경상북도 경산,,"AWS, 네이버 클라우드 등)을 활용한 설계, 개발, 운용 경험 - 
Python을 이용한 데이터 처리 및 AI 개발 경험 - OpenCV를 이용한... 용한 설계, 개발, 운용 경험- 
Python을 이용한 데이터 처리 및 AI..."
https://kr.indeed.com//rc/clk?jk=b58527264c90df6e&fccid=f4406f2325b4296b&vjs=3,LDI주식팀 경력직원 안내 (~4/11),대한민국,,"어능력 우수자, CFA, FRM, 투자자산운용사 等 자격증 보유자 우대 - 프로그램 언어(VBA, SQL, 
Python 等) 가능자 우대 4. 채용 프로세스 - 서류전형 면접전형 채용검진 최종합격 ※ 면접 대상자는 서류전형..."
https://kr.indeed.com//rc/clk?jk=8e11c3c2a8f8cfdf&fccid=205b02ce77cbf40e&vjs=3,ADS User Data Analyst,대한민국,,"격요건 Metric 도출과 현상에 대한 인과관계를 데이터로 해석하여 리포팅하실 수 있으신 분 SQL, R, 
Python 등 툴을 이용한 데이터를 분석하실 수 있으신 분 긍정적인 마인드로 데이터에 대해서 세밀하게 문제를 해결하..."
https://kr.indeed.com//rc/clk?jk=ecd6bdcf0cc22550&fccid=205b02ce77cbf40e&vjs=3,Database Engineer (DBA) (RDBMS / NOSQL),대한민국,,"능하신 분 데이터 모델링에 대한 이해도가 높고 DB기초지식이 견고하신 분 운영도구등의 개발이 가능하신 분 ( 
Python, Golang, Perl, Java 등) 현실에 안주하지 않고 자기개발에 대한 열정이 넘치시는 분 해외..."
https://kr.indeed.com//rc/clk?jk=7242281325de7ab5&fccid=58b2d64deed19aa5&vjs=3,Senior AI-SDS Brightics (Korea),대한민국,,"experience with statistics. Programming experience, ideally in 
Python, Spark, Kafka or Java... willingness to learn new..."
https://kr.indeed.com//rc/clk?jk=cfc8ccac5b45da66&fccid=ec1d0c6e548bba97&vjs=3,"Quant Trader : 퀀트, 알고리즘 트레이딩 전문 회사",서울,,"리할 수 있는 사람자신 또는 타인의 생각을 긍정적인 방향으로 항상 의심하고 개선할 수 있는 사람아이디어나 논리를 수치적으로 검증하는 능력과 습관이 있는 사람 인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>
Python"
https://kr.indeed.com//rc/clk?jk=7c19ff88836f8869&fccid=617504e506359426&vjs=3,고등광기술연구소 전문연구요원,광주 북구,,"고출력 펄스형/극초단 광섬유 레이저, 레이저/고암섬유 레이저, 레이저 인공지능 융합연구, matlab/
python/ FPGA / Raspberry Pi 등 (경험자 우대) 우대사항 ① 국가보훈대상자(취업보호대상자) 및..."
https://kr.indeed.com//rc/clk?jk=0f284536b918df4f&fccid=bc48816053af06b3&vjs=3,CloudNative Engineer,경기도 성남,,"Jenkins,argonCD 등의 CI/CD 서비스 운영 - 
Python등을 이용한 업무 효율화/자동화 개발 [자격요건] - Cloud... 작업 경험이 있으신 분 - 
Python,perl 등을 이용한 업무 효율화..."
